idx,start_sample,end_sample,out_wav,top1_label,top1_prob,top5
0,6528,9888,artifacts/isolated_snippets/snippet_0.wav,q,0.23431138694286346,"[(10, 'q', 0.23431138694286346), (19, 'p', 0.15469807386398315), (18, 'o', 0.07686955481767654), (5, '6', 0.061829574406147), (28, 'l', 0.04746478050947189)]"
1,110784,114144,artifacts/isolated_snippets/snippet_1.wav,j,0.1893586665391922,"[(26, 'j', 0.1893586665391922), (0, '1', 0.09308917075395584), (16, 'u', 0.07200232148170471), (7, '8', 0.06967541575431824), (27, 'k', 0.06608313322067261)]"
2,114240,117600,artifacts/isolated_snippets/snippet_2.wav,j,0.27539268136024475,"[(26, 'j', 0.27539268136024475), (10, 'q', 0.13071414828300476), (0, '1', 0.06701891869306564), (16, 'u', 0.045919083058834076), (7, '8', 0.03994429484009743)]"
3,149088,152448,artifacts/isolated_snippets/snippet_3.wav,j,0.07796158641576767,"[(26, 'j', 0.07796158641576767), (10, 'q', 0.0770145058631897), (28, 'l', 0.06469258666038513), (35, 'm', 0.06165331229567528), (7, '8', 0.057777438312768936)]"
4,185088,188448,artifacts/isolated_snippets/snippet_4.wav,8,0.10264769941568375,"[(7, '8', 0.10264769941568375), (26, 'j', 0.0683910995721817), (10, 'q', 0.06228429451584816), (6, '7', 0.06202090159058571), (19, 'p', 0.060030125081539154)]"
5,188256,191616,artifacts/isolated_snippets/snippet_5.wav,p,0.13931691646575928,"[(19, 'p', 0.13931691646575928), (7, '8', 0.12017995119094849), (16, 'u', 0.09478235244750977), (10, 'q', 0.0673082172870636), (26, 'j', 0.06513743102550507)]"
6,223680,227040,artifacts/isolated_snippets/snippet_6.wav,8,0.08284609019756317,"[(7, '8', 0.08284609019756317), (33, 'b', 0.06556441634893417), (28, 'l', 0.059346240013837814), (9, '0', 0.05689532682299614), (27, 'k', 0.05676918476819992)]"
7,227424,230784,artifacts/isolated_snippets/snippet_7.wav,p,0.10399564355611801,"[(19, 'p', 0.10399564355611801), (7, '8', 0.10355924814939499), (0, '1', 0.10151654481887817), (18, 'o', 0.07655162364244461), (10, 'q', 0.06927725672721863)]"
8,264288,267648,artifacts/isolated_snippets/snippet_8.wav,8,0.17472922801971436,"[(7, '8', 0.17472922801971436), (0, '1', 0.11782004684209824), (20, 'a', 0.06507212668657303), (9, '0', 0.06403642892837524), (8, '9', 0.05609717592597008)]"
9,268032,271392,artifacts/isolated_snippets/snippet_9.wav,8,0.1152898296713829,"[(7, '8', 0.1152898296713829), (10, 'q', 0.11077622324228287), (26, 'j', 0.08829113841056824), (19, 'p', 0.0714758038520813), (18, 'o', 0.057762932032346725)]"
10,307200,310560,artifacts/isolated_snippets/snippet_10.wav,8,0.11032586544752121,"[(7, '8', 0.11032586544752121), (27, 'k', 0.07449310272932053), (8, '9', 0.07099932432174683), (26, 'j', 0.06801381707191467), (31, 'c', 0.06186571717262268)]"
11,310944,314304,artifacts/isolated_snippets/snippet_11.wav,1,0.2912917137145996,"[(0, '1', 0.2912917137145996), (26, 'j', 0.0695427656173706), (19, 'p', 0.05878521129488945), (10, 'q', 0.05817984789609909), (20, 'a', 0.0454922579228878)]"
12,350112,353472,artifacts/isolated_snippets/snippet_12.wav,1,0.09596642851829529,"[(0, '1', 0.09596642851829529), (8, '9', 0.09060682356357574), (7, '8', 0.07940956205129623), (19, 'p', 0.07664364576339722), (10, 'q', 0.07213756442070007)]"
13,353280,356640,artifacts/isolated_snippets/snippet_13.wav,8,0.09357091039419174,"[(7, '8', 0.09357091039419174), (5, '6', 0.08485804498195648), (26, 'j', 0.07466204464435577), (10, 'q', 0.07302418351173401), (18, 'o', 0.0645737275481224)]"
14,388128,391488,artifacts/isolated_snippets/snippet_14.wav,8,0.16851499676704407,"[(7, '8', 0.16851499676704407), (19, 'p', 0.11009825021028519), (16, 'u', 0.07346057146787643), (8, '9', 0.06484702229499817), (9, '0', 0.05785944685339928)]"
15,391008,394368,artifacts/isolated_snippets/snippet_15.wav,p,0.11723840981721878,"[(19, 'p', 0.11723840981721878), (26, 'j', 0.10304754972457886), (9, '0', 0.08085667341947556), (18, 'o', 0.06432458013296127), (7, '8', 0.06195904687047005)]"
16,429600,432960,artifacts/isolated_snippets/snippet_16.wav,8,0.092970110476017,"[(7, '8', 0.092970110476017), (8, '9', 0.06795474886894226), (0, '1', 0.06756660342216492), (9, '0', 0.059766530990600586), (31, 'c', 0.055047523230314255)]"
17,433344,436704,artifacts/isolated_snippets/snippet_17.wav,1,0.26938197016716003,"[(0, '1', 0.26938197016716003), (10, 'q', 0.08352351933717728), (26, 'j', 0.049468088895082474), (11, 'w', 0.04481242224574089), (20, 'a', 0.04429660364985466)]"
18,471072,474432,artifacts/isolated_snippets/snippet_18.wav,8,0.08520353585481644,"[(7, '8', 0.08520353585481644), (8, '9', 0.08006924390792847), (26, 'j', 0.06493483483791351), (9, '0', 0.060515761375427246), (28, 'l', 0.05415389686822891)]"
19,474816,478176,artifacts/isolated_snippets/snippet_19.wav,j,0.15439778566360474,"[(26, 'j', 0.15439778566360474), (16, 'u', 0.0979631170630455), (7, '8', 0.09757121652364731), (6, '7', 0.061603643000125885), (19, 'p', 0.05792468041181564)]"
20,512544,515904,artifacts/isolated_snippets/snippet_20.wav,j,0.1325615495443344,"[(26, 'j', 0.1325615495443344), (0, '1', 0.0923851802945137), (7, '8', 0.06896854192018509), (16, 'u', 0.05567602068185806), (35, 'm', 0.04968823492527008)]"
21,516288,519648,artifacts/isolated_snippets/snippet_21.wav,1,0.2789461016654968,"[(0, '1', 0.2789461016654968), (10, 'q', 0.1660243421792984), (7, '8', 0.055036645382642746), (20, 'a', 0.049272384494543076), (1, '2', 0.04165487736463547)]"
22,553728,557088,artifacts/isolated_snippets/snippet_22.wav,p,0.1684994101524353,"[(19, 'p', 0.1684994101524353), (7, '8', 0.1269807517528534), (34, 'n', 0.06064533814787865), (10, 'q', 0.055737756192684174), (18, 'o', 0.05004303157329559)]"
